START ('@start') [Linha 1, Coluna 0]
EQUALS ('=') [Linha 54, Coluna 15]
INT ('10') [Linha 54, Coluna 17]
LET ('let') [Linha 55, Coluna 4]
VAR ('b') [Linha 55, Coluna 8]
POINT2 (':') [Linha 55, Coluna 9]
INT_TYPE ('int') [Linha 55, Coluna 11]
EQUALS ('=') [Linha 55, Coluna 15]
INT ('3') [Linha 55, Coluna 17]
LET ('let') [Linha 57, Coluna 4]
VAR ('soma') [Linha 57, Coluna 8]
POINT2 (':') [Linha 57, Coluna 12]
INT_TYPE ('int') [Linha 57, Coluna 14]
EQUALS ('=') [Linha 57, Coluna 18]
VAR ('a') [Linha 57, Coluna 20]
ADD ('+') [Linha 57, Coluna 22]
VAR ('b') [Linha 57, Coluna 24]
LET ('let') [Linha 58, Coluna 4]
VAR ('subtracao') [Linha 58, Coluna 8]
POINT2 (':') [Linha 58, Coluna 17]
INT_TYPE ('int') [Linha 58, Coluna 19]
EQUALS ('=') [Linha 58, Coluna 23]
VAR ('a') [Linha 58, Coluna 25]
SUB ('-') [Linha 58, Coluna 27]
VAR ('b') [Linha 58, Coluna 29]
LET ('let') [Linha 59, Coluna 4]
VAR ('multiplicacao') [Linha 59, Coluna 8]
POINT2 (':') [Linha 59, Coluna 21]
INT_TYPE ('int') [Linha 59, Coluna 23]
EQUALS ('=') [Linha 59, Coluna 27]
VAR ('a') [Linha 59, Coluna 29]
MUL ('*') [Linha 59, Coluna 31]
VAR ('b') [Linha 59, Coluna 33]
LET ('let') [Linha 60, Coluna 4]
VAR ('divisao') [Linha 60, Coluna 8]
POINT2 (':') [Linha 60, Coluna 15]
INT_TYPE ('int') [Linha 60, Coluna 17]
EQUALS ('=') [Linha 60, Coluna 21]
VAR ('a') [Linha 60, Coluna 23]
DIV ('/') [Linha 60, Coluna 25]
VAR ('b') [Linha 60, Coluna 27]
PRINT ('print') [Linha 62, Coluna 4]
DUPONT ('::') [Linha 62, Coluna 10]
STRING ('"Operações com"') [Linha 62, Coluna 13]
VIRG (',') [Linha 62, Coluna 28]
VAR ('a') [Linha 62, Coluna 30]
VIRG (',') [Linha 62, Coluna 31]
STRING ('"e"') [Linha 62, Coluna 33]
VIRG (',') [Linha 62, Coluna 36]
VAR ('b') [Linha 62, Coluna 38]
PRINT ('print') [Linha 63, Coluna 4]
DUPONT ('::') [Linha 63, Coluna 10]
STRING ('"Soma:"') [Linha 63, Coluna 13]
VIRG (',') [Linha 63, Coluna 20]
VAR ('soma') [Linha 63, Coluna 22]
PRINT ('print') [Linha 64, Coluna 4]
DUPONT ('::') [Linha 64, Coluna 10]
STRING ('"Subtração:"') [Linha 64, Coluna 13]
VIRG (',') [Linha 64, Coluna 25]
VAR ('subtracao') [Linha 64, Coluna 27]
PRINT ('print') [Linha 65, Coluna 4]
DUPONT ('::') [Linha 65, Coluna 10]
STRING ('"Multiplicação:"') [Linha 65, Coluna 13]
VIRG (',') [Linha 65, Coluna 29]
VAR ('multiplicacao') [Linha 65, Coluna 31]
PRINT ('print') [Linha 66, Coluna 4]
DUPONT ('::') [Linha 66, Coluna 10]
STRING ('"Divisão:"') [Linha 66, Coluna 13]
VIRG (',') [Linha 66, Coluna 23]
VAR ('divisao') [Linha 66, Coluna 25]
LET ('let') [Linha 69, Coluna 4]
VAR ('resultado') [Linha 69, Coluna 8]
POINT2 (':') [Linha 69, Coluna 17]
INT_TYPE ('int') [Linha 69, Coluna 19]
EQUALS ('=') [Linha 69, Coluna 23]
VAR ('a') [Linha 69, Coluna 25]
ADD ('+') [Linha 69, Coluna 27]
VAR ('b') [Linha 69, Coluna 29]
MUL ('*') [Linha 69, Coluna 31]
INT ('2') [Linha 69, Coluna 33]
SUB ('-') [Linha 69, Coluna 35]
INT ('1') [Linha 69, Coluna 37]
LET ('let') [Linha 70, Coluna 4]
VAR ('complexo') [Linha 70, Coluna 8]
POINT2 (':') [Linha 70, Coluna 16]
INT_TYPE ('int') [Linha 70, Coluna 18]
EQUALS ('=') [Linha 70, Coluna 22]
P_N ('(') [Linha 70, Coluna 24]
VAR ('a') [Linha 70, Coluna 25]
ADD ('+') [Linha 70, Coluna 27]
VAR ('b') [Linha 70, Coluna 29]
P_I (')') [Linha 70, Coluna 30]
MUL ('*') [Linha 70, Coluna 32]
INT ('2') [Linha 70, Coluna 34]
PRINT ('print') [Linha 72, Coluna 4]
DUPONT ('::') [Linha 72, Coluna 10]
STRING ('"Resultado complexo:"') [Linha 72, Coluna 13]
VIRG (',') [Linha 72, Coluna 34]
VAR ('resultado') [Linha 72, Coluna 36]
PRINT ('print') [Linha 73, Coluna 4]
DUPONT ('::') [Linha 73, Coluna 10]
STRING ('"Com parênteses:"') [Linha 73, Coluna 13]
VIRG (',') [Linha 73, Coluna 30]
VAR ('complexo') [Linha 73, Coluna 32]
LET ('let') [Linha 79, Coluna 4]
VAR ('igual') [Linha 79, Coluna 8]
POINT2 (':') [Linha 79, Coluna 13]
INT_TYPE ('int') [Linha 79, Coluna 15]
EQUALS ('=') [Linha 79, Coluna 19]
VAR ('a') [Linha 79, Coluna 21]
EQ ('==') [Linha 79, Coluna 23]
VAR ('b') [Linha 79, Coluna 26]
LET ('let') [Linha 80, Coluna 4]
VAR ('diferente') [Linha 80, Coluna 8]
POINT2 (':') [Linha 80, Coluna 17]
INT_TYPE ('int') [Linha 80, Coluna 19]
EQUALS ('=') [Linha 80, Coluna 23]
VAR ('a') [Linha 80, Coluna 25]
NEQ ('!=') [Linha 80, Coluna 27]
VAR ('b') [Linha 80, Coluna 30]
LET ('let') [Linha 81, Coluna 4]
VAR ('menor') [Linha 81, Coluna 8]
POINT2 (':') [Linha 81, Coluna 13]
INT_TYPE ('int') [Linha 81, Coluna 15]
EQUALS ('=') [Linha 81, Coluna 19]
VAR ('a') [Linha 81, Coluna 21]
LT ('<') [Linha 81, Coluna 23]
VAR ('b') [Linha 81, Coluna 25]
LET ('let') [Linha 82, Coluna 4]
VAR ('maior') [Linha 82, Coluna 8]
POINT2 (':') [Linha 82, Coluna 13]
INT_TYPE ('int') [Linha 82, Coluna 15]
EQUALS ('=') [Linha 82, Coluna 19]
VAR ('a') [Linha 82, Coluna 21]
GT ('>') [Linha 82, Coluna 23]
VAR ('b') [Linha 82, Coluna 25]
LET ('let') [Linha 83, Coluna 4]
VAR ('menorIgual') [Linha 83, Coluna 8]
POINT2 (':') [Linha 83, Coluna 18]
INT_TYPE ('int') [Linha 83, Coluna 20]
EQUALS ('=') [Linha 83, Coluna 24]
VAR ('a') [Linha 83, Coluna 26]
LTE ('<=') [Linha 83, Coluna 28]
VAR ('b') [Linha 83, Coluna 31]
LET ('let') [Linha 84, Coluna 4]
VAR ('maiorIgual') [Linha 84, Coluna 8]
POINT2 (':') [Linha 84, Coluna 18]
INT_TYPE ('int') [Linha 84, Coluna 20]
EQUALS ('=') [Linha 84, Coluna 24]
VAR ('a') [Linha 84, Coluna 26]
GTE ('>=') [Linha 84, Coluna 28]
VAR ('b') [Linha 84, Coluna 31]
PRINT ('print') [Linha 86, Coluna 4]
DUPONT ('::') [Linha 86, Coluna 10]
STRING ('"=== COMPARAÇÕES ==="') [Linha 86, Coluna 13]
PRINT ('print') [Linha 87, Coluna 4]
DUPONT ('::') [Linha 87, Coluna 10]
STRING ('"10 == 3:"') [Linha 87, Coluna 13]
VIRG (',') [Linha 87, Coluna 23]
VAR ('igual') [Linha 87, Coluna 25]
PRINT ('print') [Linha 88, Coluna 4]
DUPONT ('::') [Linha 88, Coluna 10]
STRING ('"10 != 3:"') [Linha 88, Coluna 13]
VIRG (',') [Linha 88, Coluna 23]
VAR ('diferente') [Linha 88, Coluna 25]
PRINT ('print') [Linha 89, Coluna 4]
DUPONT ('::') [Linha 89, Coluna 10]
STRING ('"10 < 3:"') [Linha 89, Coluna 13]
VIRG (',') [Linha 89, Coluna 22]
VAR ('menor') [Linha 89, Coluna 24]
PRINT ('print') [Linha 90, Coluna 4]
DUPONT ('::') [Linha 90, Coluna 10]
STRING ('"10 > 3:"') [Linha 90, Coluna 13]
VIRG (',') [Linha 90, Coluna 22]
VAR ('maior') [Linha 90, Coluna 24]
PRINT ('print') [Linha 91, Coluna 4]
DUPONT ('::') [Linha 91, Coluna 10]
STRING ('"10 <= 3:"') [Linha 91, Coluna 13]
VIRG (',') [Linha 91, Coluna 23]
VAR ('menorIgual') [Linha 91, Coluna 25]
PRINT ('print') [Linha 92, Coluna 4]
DUPONT ('::') [Linha 92, Coluna 10]
STRING ('"10 >= 3:"') [Linha 92, Coluna 13]
VIRG (',') [Linha 92, Coluna 23]
VAR ('maiorIgual') [Linha 92, Coluna 25]
LET ('let') [Linha 98, Coluna 4]
VAR ('condicao1') [Linha 98, Coluna 8]
POINT2 (':') [Linha 98, Coluna 17]
INT_TYPE ('int') [Linha 98, Coluna 19]
EQUALS ('=') [Linha 98, Coluna 23]
INT ('1') [Linha 98, Coluna 25]
LET ('let') [Linha 99, Coluna 4]
VAR ('condicao2') [Linha 99, Coluna 8]
POINT2 (':') [Linha 99, Coluna 17]
INT_TYPE ('int') [Linha 99, Coluna 19]
EQUALS ('=') [Linha 99, Coluna 23]
INT ('0') [Linha 99, Coluna 25]
LET ('let') [Linha 101, Coluna 4]
VAR ('e_logico') [Linha 101, Coluna 8]
POINT2 (':') [Linha 101, Coluna 16]
INT_TYPE ('int') [Linha 101, Coluna 18]
EQUALS ('=') [Linha 101, Coluna 22]
VAR ('condicao1') [Linha 101, Coluna 24]
AND ('&&') [Linha 101, Coluna 34]
VAR ('condicao2') [Linha 101, Coluna 37]
LET ('let') [Linha 102, Coluna 4]
VAR ('ou_logico') [Linha 102, Coluna 8]
POINT2 (':') [Linha 102, Coluna 17]
INT_TYPE ('int') [Linha 102, Coluna 19]
EQUALS ('=') [Linha 102, Coluna 23]
VAR ('condicao1') [Linha 102, Coluna 25]
OR ('||') [Linha 102, Coluna 35]
VAR ('condicao2') [Linha 102, Coluna 38]
PRINT ('print') [Linha 104, Coluna 4]
DUPONT ('::') [Linha 104, Coluna 10]
STRING ('"=== OPERAÇÕES LÓGICAS ==="') [Linha 104, Coluna 13]
PRINT ('print') [Linha 105, Coluna 4]
DUPONT ('::') [Linha 105, Coluna 10]
STRING ('"1 && 0:"') [Linha 105, Coluna 13]
VIRG (',') [Linha 105, Coluna 22]
VAR ('e_logico') [Linha 105, Coluna 24]
PRINT ('print') [Linha 106, Coluna 4]
DUPONT ('::') [Linha 106, Coluna 10]
STRING ('"1 || 0:"') [Linha 106, Coluna 13]
VIRG (',') [Linha 106, Coluna 22]
VAR ('ou_logico') [Linha 106, Coluna 24]
LET ('let') [Linha 109, Coluna 4]
VAR ('complexa') [Linha 109, Coluna 8]
POINT2 (':') [Linha 109, Coluna 16]
INT_TYPE ('int') [Linha 109, Coluna 18]
EQUALS ('=') [Linha 109, Coluna 22]
P_N ('(') [Linha 109, Coluna 24]
VAR ('a') [Linha 109, Coluna 25]
GT ('>') [Linha 109, Coluna 27]
VAR ('b') [Linha 109, Coluna 29]
P_I (')') [Linha 109, Coluna 30]
AND ('&&') [Linha 109, Coluna 32]
P_N ('(') [Linha 109, Coluna 35]
VAR ('soma') [Linha 109, Coluna 36]
GT ('>') [Linha 109, Coluna 41]
INT ('10') [Linha 109, Coluna 43]
P_I (')') [Linha 109, Coluna 45]
PRINT ('print') [Linha 110, Coluna 4]
DUPONT ('::') [Linha 110, Coluna 10]
STRING ('"Expressão complexa:"') [Linha 110, Coluna 13]
VIRG (',') [Linha 110, Coluna 34]
VAR ('complexa') [Linha 110, Coluna 36]
LET ('let') [Linha 116, Coluna 4]
VAR ('entrada_usuario') [Linha 116, Coluna 8]
POINT2 (':') [Linha 116, Coluna 23]
INT_TYPE ('int') [Linha 116, Coluna 25]
PRINT ('print') [Linha 117, Coluna 4]
DUPONT ('::') [Linha 117, Coluna 10]
STRING ('"Digite um número:"') [Linha 117, Coluna 13]
INPUT ('input') [Linha 118, Coluna 4]
P_N ('(') [Linha 118, Coluna 9]
VAR ('entrada_usuario') [Linha 118, Coluna 10]
P_I (')') [Linha 118, Coluna 25]
PRINT ('print') [Linha 120, Coluna 4]
DUPONT ('::') [Linha 120, Coluna 10]
STRING ('"Você digitou:"') [Linha 120, Coluna 13]
VIRG (',') [Linha 120, Coluna 28]
VAR ('entrada_usuario') [Linha 120, Coluna 30]
PRINT ('print') [Linha 126, Coluna 4]
DUPONT ('::') [Linha 126, Coluna 10]
STRING ('"=== ESTRUTURAS CONDICIONAIS ==="') [Linha 126, Coluna 13]
IF ('if') [Linha 129, Coluna 4]
P_N ('(') [Linha 129, Coluna 7]
VAR ('idade') [Linha 129, Coluna 8]
GTE ('>=') [Linha 129, Coluna 14]
INT ('18') [Linha 129, Coluna 17]
P_I (')') [Linha 129, Coluna 19]
C_N ('{') [Linha 129, Coluna 21]
PRINT ('print') [Linha 130, Coluna 8]
DUPONT ('::') [Linha 130, Coluna 14]
STRING ('"Maior de idade"') [Linha 130, Coluna 17]
C_I ('}') [Linha 131, Coluna 4]
IF ('if') [Linha 134, Coluna 4]
P_N ('(') [Linha 134, Coluna 7]
VAR ('idade') [Linha 134, Coluna 8]
LT ('<') [Linha 134, Coluna 14]
INT ('13') [Linha 134, Coluna 16]
P_I (')') [Linha 134, Coluna 18]
C_N ('{') [Linha 134, Coluna 20]
PRINT ('print') [Linha 135, Coluna 8]
DUPONT ('::') [Linha 135, Coluna 14]
STRING ('"Criança"') [Linha 135, Coluna 17]
C_I ('}') [Linha 136, Coluna 4]
ELSEIF ('elseif') [Linha 136, Coluna 6]
P_N ('(') [Linha 136, Coluna 13]
VAR ('idade') [Linha 136, Coluna 14]
LT ('<') [Linha 136, Coluna 20]
INT ('18') [Linha 136, Coluna 22]
P_I (')') [Linha 136, Coluna 24]
C_N ('{') [Linha 136, Coluna 26]
PRINT ('print') [Linha 137, Coluna 8]
DUPONT ('::') [Linha 137, Coluna 14]
STRING ('"Adolescente"') [Linha 137, Coluna 17]
C_I ('}') [Linha 138, Coluna 4]
ELSEIF ('elseif') [Linha 138, Coluna 6]
P_N ('(') [Linha 138, Coluna 13]
VAR ('idade') [Linha 138, Coluna 14]
LT ('<') [Linha 138, Coluna 20]
INT ('60') [Linha 138, Coluna 22]
P_I (')') [Linha 138, Coluna 24]
C_N ('{') [Linha 138, Coluna 26]
PRINT ('print') [Linha 139, Coluna 8]
DUPONT ('::') [Linha 139, Coluna 14]
STRING ('"Adulto"') [Linha 139, Coluna 17]
C_I ('}') [Linha 140, Coluna 4]
ELSE ('else') [Linha 140, Coluna 6]
C_N ('{') [Linha 140, Coluna 11]
PRINT ('print') [Linha 141, Coluna 8]
DUPONT ('::') [Linha 141, Coluna 14]
STRING ('"Idoso"') [Linha 141, Coluna 17]
C_I ('}') [Linha 142, Coluna 4]
PRINT ('print') [Linha 148, Coluna 4]
DUPONT ('::') [Linha 148, Coluna 10]
STRING ('"=== LAÇOS FOR ==="') [Linha 148, Coluna 13]
PRINT ('print') [Linha 151, Coluna 4]
DUPONT ('::') [Linha 151, Coluna 10]
STRING ('"Contagem de 1 a 5:"') [Linha 151, Coluna 13]
FOR ('for') [Linha 152, Coluna 4]
VAR ('i') [Linha 152, Coluna 8]
IN ('in') [Linha 152, Coluna 10]
INT ('1') [Linha 152, Coluna 13]
DOT2 ('..') [Linha 152, Coluna 14]
INT ('5') [Linha 152, Coluna 16]
C_N ('{') [Linha 152, Coluna 18]
PRINT ('print') [Linha 153, Coluna 8]
DUPONT ('::') [Linha 153, Coluna 14]
STRING ('"Número:"') [Linha 153, Coluna 17]
VIRG (',') [Linha 153, Coluna 26]
VAR ('i') [Linha 153, Coluna 28]
C_I ('}') [Linha 154, Coluna 4]
PRINT ('print') [Linha 157, Coluna 4]
DUPONT ('::') [Linha 157, Coluna 10]
STRING ('"Contagem regressiva:"') [Linha 157, Coluna 13]
FOR ('for') [Linha 158, Coluna 4]
VAR ('j') [Linha 158, Coluna 8]
IN ('in') [Linha 158, Coluna 10]
INT ('10') [Linha 158, Coluna 13]
DOT2 ('..') [Linha 158, Coluna 15]
INT ('7') [Linha 158, Coluna 17]
C_N ('{') [Linha 158, Coluna 19]
PRINT ('print') [Linha 159, Coluna 8]
DUPONT ('::') [Linha 159, Coluna 14]
STRING ('"Contagem:"') [Linha 159, Coluna 17]
VIRG (',') [Linha 159, Coluna 28]
VAR ('j') [Linha 159, Coluna 30]
C_I ('}') [Linha 160, Coluna 4]
LET ('let') [Linha 163, Coluna 4]
VAR ('inicio') [Linha 163, Coluna 8]
POINT2 (':') [Linha 163, Coluna 14]
INT_TYPE ('int') [Linha 163, Coluna 16]
EQUALS ('=') [Linha 163, Coluna 20]
INT ('0') [Linha 163, Coluna 22]
LET ('let') [Linha 164, Coluna 4]
VAR ('fim') [Linha 164, Coluna 8]
POINT2 (':') [Linha 164, Coluna 11]
INT_TYPE ('int') [Linha 164, Coluna 13]
EQUALS ('=') [Linha 164, Coluna 17]
INT ('3') [Linha 164, Coluna 19]
PRINT ('print') [Linha 165, Coluna 4]
DUPONT ('::') [Linha 165, Coluna 10]
STRING ('"Range dinâmico:"') [Linha 165, Coluna 13]
FOR ('for') [Linha 166, Coluna 4]
VAR ('k') [Linha 166, Coluna 8]
IN ('in') [Linha 166, Coluna 10]
VAR ('inicio') [Linha 166, Coluna 13]
DOT2 ('..') [Linha 166, Coluna 19]
VAR ('fim') [Linha 166, Coluna 21]
C_N ('{') [Linha 166, Coluna 25]
PRINT ('print') [Linha 167, Coluna 8]
DUPONT ('::') [Linha 167, Coluna 14]
STRING ('"Valor de k:"') [Linha 167, Coluna 17]
VIRG (',') [Linha 167, Coluna 30]
VAR ('k') [Linha 167, Coluna 32]
LET ('let') [Linha 168, Coluna 8]
VAR ('quadrado') [Linha 168, Coluna 12]
POINT2 (':') [Linha 168, Coluna 20]
INT_TYPE ('int') [Linha 168, Coluna 22]
EQUALS ('=') [Linha 168, Coluna 26]
VAR ('k') [Linha 168, Coluna 28]
MUL ('*') [Linha 168, Coluna 30]
VAR ('k') [Linha 168, Coluna 32]
PRINT ('print') [Linha 169, Coluna 8]
DUPONT ('::') [Linha 169, Coluna 14]
STRING ('"Quadrado:"') [Linha 169, Coluna 17]
VIRG (',') [Linha 169, Coluna 28]
VAR ('quadrado') [Linha 169, Coluna 30]
C_I ('}') [Linha 170, Coluna 4]
PRINT ('print') [Linha 176, Coluna 4]
DUPONT ('::') [Linha 176, Coluna 10]
STRING ('"=== LAÇOS WHILE ==="') [Linha 176, Coluna 13]
LET ('let') [Linha 179, Coluna 4]
VAR ('cont') [Linha 179, Coluna 8]
POINT2 (':') [Linha 179, Coluna 12]
INT_TYPE ('int') [Linha 179, Coluna 14]
EQUALS ('=') [Linha 179, Coluna 18]
INT ('0') [Linha 179, Coluna 20]
PRINT ('print') [Linha 180, Coluna 4]
DUPONT ('::') [Linha 180, Coluna 10]
STRING ('"Contagem while até 3:"') [Linha 180, Coluna 13]
WHILE ('while') [Linha 181, Coluna 4]
P_N ('(') [Linha 181, Coluna 10]
VAR ('cont') [Linha 181, Coluna 11]
LT ('<') [Linha 181, Coluna 16]
INT ('3') [Linha 181, Coluna 18]
P_I (')') [Linha 181, Coluna 19]
C_N ('{') [Linha 181, Coluna 21]
PRINT ('print') [Linha 182, Coluna 8]
DUPONT ('::') [Linha 182, Coluna 14]
STRING ('"Contador:"') [Linha 182, Coluna 17]
VIRG (',') [Linha 182, Coluna 28]
VAR ('cont') [Linha 182, Coluna 30]
VAR ('cont') [Linha 183, Coluna 8]
ADD ('+') [Linha 183, Coluna 13]
EQUALS ('=') [Linha 183, Coluna 14]
INT ('1') [Linha 183, Coluna 16]
C_I ('}') [Linha 184, Coluna 4]
LET ('let') [Linha 187, Coluna 4]
VAR ('x') [Linha 187, Coluna 8]
POINT2 (':') [Linha 187, Coluna 9]
INT_TYPE ('int') [Linha 187, Coluna 11]
EQUALS ('=') [Linha 187, Coluna 15]
INT ('10') [Linha 187, Coluna 17]
LET ('let') [Linha 188, Coluna 4]
VAR ('y') [Linha 188, Coluna 8]
POINT2 (':') [Linha 188, Coluna 9]
INT_TYPE ('int') [Linha 188, Coluna 11]
EQUALS ('=') [Linha 188, Coluna 15]
INT ('1') [Linha 188, Coluna 17]
PRINT ('print') [Linha 189, Coluna 4]
DUPONT ('::') [Linha 189, Coluna 10]
STRING ('"While com condição complexa:"') [Linha 189, Coluna 13]
WHILE ('while') [Linha 190, Coluna 4]
P_N ('(') [Linha 190, Coluna 10]
VAR ('x') [Linha 190, Coluna 11]
GT ('>') [Linha 190, Coluna 13]
VAR ('y') [Linha 190, Coluna 15]
AND ('&&') [Linha 190, Coluna 17]
VAR ('y') [Linha 190, Coluna 20]
LT ('<') [Linha 190, Coluna 22]
INT ('5') [Linha 190, Coluna 24]
P_I (')') [Linha 190, Coluna 25]
C_N ('{') [Linha 190, Coluna 27]
PRINT ('print') [Linha 191, Coluna 8]
DUPONT ('::') [Linha 191, Coluna 14]
STRING ('"x ="') [Linha 191, Coluna 17]
VIRG (',') [Linha 191, Coluna 22]
VAR ('x') [Linha 191, Coluna 24]
VIRG (',') [Linha 191, Coluna 25]
STRING ('"y ="') [Linha 191, Coluna 27]
VIRG (',') [Linha 191, Coluna 32]
VAR ('y') [Linha 191, Coluna 34]
VAR ('x') [Linha 192, Coluna 8]
SUB ('-') [Linha 192, Coluna 10]
EQUALS ('=') [Linha 192, Coluna 11]
INT ('2') [Linha 192, Coluna 13]
VAR ('y') [Linha 193, Coluna 8]
ADD ('+') [Linha 193, Coluna 10]
EQUALS ('=') [Linha 193, Coluna 11]
INT ('1') [Linha 193, Coluna 13]
C_I ('}') [Linha 194, Coluna 4]
PRINT ('print') [Linha 200, Coluna 4]
DUPONT ('::') [Linha 200, Coluna 10]
STRING ('"=== CASOS AVANÇADOS ==="') [Linha 200, Coluna 13]
LET ('let') [Linha 203, Coluna 4]
VAR ('num1') [Linha 203, Coluna 8]
POINT2 (':') [Linha 203, Coluna 12]
INT_TYPE ('int') [Linha 203, Coluna 14]
EQUALS ('=') [Linha 203, Coluna 18]
INT ('15') [Linha 203, Coluna 20]
LET ('let') [Linha 204, Coluna 4]
VAR ('num2') [Linha 204, Coluna 8]
POINT2 (':') [Linha 204, Coluna 12]
INT_TYPE ('int') [Linha 204, Coluna 14]
EQUALS ('=') [Linha 204, Coluna 18]
INT ('4') [Linha 204, Coluna 20]
LET ('let') [Linha 205, Coluna 4]
VAR ('operacao') [Linha 205, Coluna 8]
POINT2 (':') [Linha 205, Coluna 16]
INT_TYPE ('int') [Linha 205, Coluna 18]
EQUALS ('=') [Linha 205, Coluna 22]
INT ('1') [Linha 205, Coluna 24]
IF ('if') [Linha 207, Coluna 4]
P_N ('(') [Linha 207, Coluna 7]
VAR ('operacao') [Linha 207, Coluna 8]
EQ ('==') [Linha 207, Coluna 17]
INT ('1') [Linha 207, Coluna 20]
P_I (')') [Linha 207, Coluna 21]
C_N ('{') [Linha 207, Coluna 23]
LET ('let') [Linha 208, Coluna 8]
VAR ('result') [Linha 208, Coluna 12]
POINT2 (':') [Linha 208, Coluna 18]
INT_TYPE ('int') [Linha 208, Coluna 20]
EQUALS ('=') [Linha 208, Coluna 24]
VAR ('num1') [Linha 208, Coluna 26]
ADD ('+') [Linha 208, Coluna 31]
VAR ('num2') [Linha 208, Coluna 33]
PRINT ('print') [Linha 209, Coluna 8]
DUPONT ('::') [Linha 209, Coluna 14]
STRING ('"Soma:"') [Linha 209, Coluna 17]
