2025-07-07 12:47:51,161 - INFO - Iniciando análise do arquivo: script.lens
2025-07-07 12:47:51,161 - INFO - Código carregado com sucesso.
2025-07-07 12:47:51,200 - INFO - Tokens analisados com sucesso. Imprimindo tokens:
2025-07-07 12:47:51,210 - INFO - Token: <ADD, +, Linha 30, Coluna 10>
2025-07-07 12:47:51,210 - INFO - Token: <EQUALS, =, Linha 30, Coluna 11>
2025-07-07 12:47:51,210 - INFO - Token: <INT, 5, Linha 30, Coluna 13>
2025-07-07 12:47:51,210 - INFO - Token: <VAR, altura, Linha 31, Coluna 4>
2025-07-07 12:47:51,211 - INFO - Token: <SUB, -, Linha 31, Coluna 11>
2025-07-07 12:47:51,211 - INFO - Token: <EQUALS, =, Linha 31, Coluna 12>
2025-07-07 12:47:51,211 - INFO - Token: <INT, 5, Linha 31, Coluna 14>
2025-07-07 12:47:51,212 - INFO - Token: <VAR, contador, Linha 32, Coluna 4>
2025-07-07 12:47:51,212 - INFO - Token: <MUL, *, Linha 32, Coluna 13>
2025-07-07 12:47:51,212 - INFO - Token: <EQUALS, =, Linha 32, Coluna 14>
2025-07-07 12:47:51,213 - INFO - Token: <INT, 2, Linha 32, Coluna 16>
2025-07-07 12:47:51,213 - INFO - Token: <VAR, peso, Linha 33, Coluna 4>
2025-07-07 12:47:51,213 - INFO - Token: <DIV, /, Linha 33, Coluna 9>
2025-07-07 12:47:51,213 - INFO - Token: <EQUALS, =, Linha 33, Coluna 10>
2025-07-07 12:47:51,213 - INFO - Token: <INT, 2, Linha 33, Coluna 12>
2025-07-07 12:47:51,214 - INFO - Token: <PRINT, print, Linha 40, Coluna 4>
2025-07-07 12:47:51,214 - INFO - Token: <DUPONT, ::, Linha 40, Coluna 10>
2025-07-07 12:47:51,214 - INFO - Token: <STRING, "=== DEMONSTRAÇÃO LENS ===", Linha 40, Coluna 13>
2025-07-07 12:47:51,214 - INFO - Token: <PRINT, print, Linha 41, Coluna 4>
2025-07-07 12:47:51,214 - INFO - Token: <DUPONT, ::, Linha 41, Coluna 10>
2025-07-07 12:47:51,215 - INFO - Token: <VAR, nome, Linha 41, Coluna 13>
2025-07-07 12:47:51,215 - INFO - Token: <PRINT, print, Linha 42, Coluna 4>
2025-07-07 12:47:51,215 - INFO - Token: <DUPONT, ::, Linha 42, Coluna 10>
2025-07-07 12:47:51,215 - INFO - Token: <VAR, idade, Linha 42, Coluna 13>
2025-07-07 12:47:51,215 - INFO - Token: <PRINT, print, Linha 45, Coluna 4>
2025-07-07 12:47:51,216 - INFO - Token: <DUPONT, ::, Linha 45, Coluna 10>
2025-07-07 12:47:51,216 - INFO - Token: <STRING, "Nome completo:", Linha 45, Coluna 13>
2025-07-07 12:47:51,216 - INFO - Token: <VIRG, ,, Linha 45, Coluna 29>
2025-07-07 12:47:51,216 - INFO - Token: <VAR, nome, Linha 45, Coluna 31>
2025-07-07 12:47:51,217 - INFO - Token: <VIRG, ,, Linha 45, Coluna 35>
2025-07-07 12:47:51,217 - INFO - Token: <VAR, sobrenome, Linha 45, Coluna 37>
2025-07-07 12:47:51,217 - INFO - Token: <PRINT, print, Linha 46, Coluna 4>
2025-07-07 12:47:51,217 - INFO - Token: <DUPONT, ::, Linha 46, Coluna 10>
2025-07-07 12:47:51,217 - INFO - Token: <STRING, "Idade atual:", Linha 46, Coluna 13>
2025-07-07 12:47:51,218 - INFO - Token: <VIRG, ,, Linha 46, Coluna 27>
2025-07-07 12:47:51,218 - INFO - Token: <VAR, idade, Linha 46, Coluna 29>
2025-07-07 12:47:51,218 - INFO - Token: <PRINT, print, Linha 47, Coluna 4>
2025-07-07 12:47:51,218 - INFO - Token: <DUPONT, ::, Linha 47, Coluna 10>
2025-07-07 12:47:51,219 - INFO - Token: <STRING, "Altura:", Linha 47, Coluna 13>
2025-07-07 12:47:51,219 - INFO - Token: <VIRG, ,, Linha 47, Coluna 22>
2025-07-07 12:47:51,219 - INFO - Token: <VAR, altura, Linha 47, Coluna 24>
2025-07-07 12:47:51,219 - INFO - Token: <PRINT, print, Linha 48, Coluna 4>
2025-07-07 12:47:51,219 - INFO - Token: <DUPONT, ::, Linha 48, Coluna 10>
2025-07-07 12:47:51,220 - INFO - Token: <STRING, "Peso:", Linha 48, Coluna 13>
2025-07-07 12:47:51,220 - INFO - Token: <VIRG, ,, Linha 48, Coluna 20>
2025-07-07 12:47:51,220 - INFO - Token: <VAR, peso, Linha 48, Coluna 22>
2025-07-07 12:47:51,220 - INFO - Token: <LET, let, Linha 54, Coluna 4>
2025-07-07 12:47:51,220 - INFO - Token: <VAR, a, Linha 54, Coluna 8>
2025-07-07 12:47:51,221 - INFO - Token: <POINT2, :, Linha 54, Coluna 9>
2025-07-07 12:47:51,221 - INFO - Token: <INT_TYPE, int, Linha 54, Coluna 11>
2025-07-07 12:47:51,221 - INFO - Token: <EQUALS, =, Linha 54, Coluna 15>
2025-07-07 12:47:51,221 - INFO - Token: <INT, 10, Linha 54, Coluna 17>
2025-07-07 12:47:51,221 - INFO - Token: <LET, let, Linha 55, Coluna 4>
2025-07-07 12:47:51,222 - INFO - Token: <VAR, b, Linha 55, Coluna 8>
2025-07-07 12:47:51,222 - INFO - Token: <POINT2, :, Linha 55, Coluna 9>
2025-07-07 12:47:51,222 - INFO - Token: <INT_TYPE, int, Linha 55, Coluna 11>
2025-07-07 12:47:51,222 - INFO - Token: <EQUALS, =, Linha 55, Coluna 15>
2025-07-07 12:47:51,222 - INFO - Token: <INT, 3, Linha 55, Coluna 17>
2025-07-07 12:47:51,223 - INFO - Token: <LET, let, Linha 57, Coluna 4>
2025-07-07 12:47:51,223 - INFO - Token: <VAR, soma, Linha 57, Coluna 8>
2025-07-07 12:47:51,223 - INFO - Token: <POINT2, :, Linha 57, Coluna 12>
2025-07-07 12:47:51,223 - INFO - Token: <INT_TYPE, int, Linha 57, Coluna 14>
2025-07-07 12:47:51,223 - INFO - Token: <EQUALS, =, Linha 57, Coluna 18>
2025-07-07 12:47:51,223 - INFO - Token: <VAR, a, Linha 57, Coluna 20>
2025-07-07 12:47:51,224 - INFO - Token: <ADD, +, Linha 57, Coluna 22>
2025-07-07 12:47:51,224 - INFO - Token: <VAR, b, Linha 57, Coluna 24>
2025-07-07 12:47:51,224 - INFO - Token: <LET, let, Linha 58, Coluna 4>
2025-07-07 12:47:51,224 - INFO - Token: <VAR, subtracao, Linha 58, Coluna 8>
2025-07-07 12:47:51,224 - INFO - Token: <POINT2, :, Linha 58, Coluna 17>
2025-07-07 12:47:51,225 - INFO - Token: <INT_TYPE, int, Linha 58, Coluna 19>
2025-07-07 12:47:51,225 - INFO - Token: <EQUALS, =, Linha 58, Coluna 23>
2025-07-07 12:47:51,225 - INFO - Token: <VAR, a, Linha 58, Coluna 25>
2025-07-07 12:47:51,225 - INFO - Token: <SUB, -, Linha 58, Coluna 27>
2025-07-07 12:47:51,226 - INFO - Token: <VAR, b, Linha 58, Coluna 29>
2025-07-07 12:47:51,226 - INFO - Token: <LET, let, Linha 59, Coluna 4>
2025-07-07 12:47:51,226 - INFO - Token: <VAR, multiplicacao, Linha 59, Coluna 8>
2025-07-07 12:47:51,226 - INFO - Token: <POINT2, :, Linha 59, Coluna 21>
2025-07-07 12:47:51,227 - INFO - Token: <INT_TYPE, int, Linha 59, Coluna 23>
2025-07-07 12:47:51,227 - INFO - Token: <EQUALS, =, Linha 59, Coluna 27>
2025-07-07 12:47:51,227 - INFO - Token: <VAR, a, Linha 59, Coluna 29>
2025-07-07 12:47:51,227 - INFO - Token: <MUL, *, Linha 59, Coluna 31>
2025-07-07 12:47:51,228 - INFO - Token: <VAR, b, Linha 59, Coluna 33>
2025-07-07 12:47:51,228 - INFO - Token: <LET, let, Linha 60, Coluna 4>
2025-07-07 12:47:51,228 - INFO - Token: <VAR, divisao, Linha 60, Coluna 8>
2025-07-07 12:47:51,229 - INFO - Token: <POINT2, :, Linha 60, Coluna 15>
2025-07-07 12:47:51,229 - INFO - Token: <INT_TYPE, int, Linha 60, Coluna 17>
2025-07-07 12:47:51,229 - INFO - Token: <EQUALS, =, Linha 60, Coluna 21>
2025-07-07 12:47:51,229 - INFO - Token: <VAR, a, Linha 60, Coluna 23>
2025-07-07 12:47:51,229 - INFO - Token: <DIV, /, Linha 60, Coluna 25>
2025-07-07 12:47:51,230 - INFO - Token: <VAR, b, Linha 60, Coluna 27>
2025-07-07 12:47:51,230 - INFO - Token: <PRINT, print, Linha 62, Coluna 4>
2025-07-07 12:47:51,230 - INFO - Token: <DUPONT, ::, Linha 62, Coluna 10>
2025-07-07 12:47:51,230 - INFO - Token: <STRING, "Operações com", Linha 62, Coluna 13>
2025-07-07 12:47:51,230 - INFO - Token: <VIRG, ,, Linha 62, Coluna 28>
2025-07-07 12:47:51,231 - INFO - Token: <VAR, a, Linha 62, Coluna 30>
2025-07-07 12:47:51,231 - INFO - Token: <VIRG, ,, Linha 62, Coluna 31>
2025-07-07 12:47:51,231 - INFO - Token: <STRING, "e", Linha 62, Coluna 33>
2025-07-07 12:47:51,231 - INFO - Token: <VIRG, ,, Linha 62, Coluna 36>
2025-07-07 12:47:51,231 - INFO - Token: <VAR, b, Linha 62, Coluna 38>
2025-07-07 12:47:51,232 - INFO - Token: <PRINT, print, Linha 63, Coluna 4>
2025-07-07 12:47:51,232 - INFO - Token: <DUPONT, ::, Linha 63, Coluna 10>
2025-07-07 12:47:51,232 - INFO - Token: <STRING, "Soma:", Linha 63, Coluna 13>
2025-07-07 12:47:51,232 - INFO - Token: <VIRG, ,, Linha 63, Coluna 20>
2025-07-07 12:47:51,232 - INFO - Token: <VAR, soma, Linha 63, Coluna 22>
2025-07-07 12:47:51,233 - INFO - Token: <PRINT, print, Linha 64, Coluna 4>
2025-07-07 12:47:51,233 - INFO - Token: <DUPONT, ::, Linha 64, Coluna 10>
2025-07-07 12:47:51,233 - INFO - Token: <STRING, "Subtração:", Linha 64, Coluna 13>
2025-07-07 12:47:51,233 - INFO - Token: <VIRG, ,, Linha 64, Coluna 25>
2025-07-07 12:47:51,233 - INFO - Token: <VAR, subtracao, Linha 64, Coluna 27>
2025-07-07 12:47:51,234 - INFO - Token: <PRINT, print, Linha 65, Coluna 4>
2025-07-07 12:47:51,234 - INFO - Token: <DUPONT, ::, Linha 65, Coluna 10>
2025-07-07 12:47:51,234 - INFO - Token: <STRING, "Multiplicação:", Linha 65, Coluna 13>
2025-07-07 12:47:51,234 - INFO - Token: <VIRG, ,, Linha 65, Coluna 29>
2025-07-07 12:47:51,234 - INFO - Token: <VAR, multiplicacao, Linha 65, Coluna 31>
2025-07-07 12:47:51,235 - INFO - Token: <PRINT, print, Linha 66, Coluna 4>
2025-07-07 12:47:51,235 - INFO - Token: <DUPONT, ::, Linha 66, Coluna 10>
2025-07-07 12:47:51,235 - INFO - Token: <STRING, "Divisão:", Linha 66, Coluna 13>
2025-07-07 12:47:51,235 - INFO - Token: <VIRG, ,, Linha 66, Coluna 23>
2025-07-07 12:47:51,235 - INFO - Token: <VAR, divisao, Linha 66, Coluna 25>
2025-07-07 12:47:51,236 - INFO - Token: <LET, let, Linha 69, Coluna 4>
2025-07-07 12:47:51,236 - INFO - Token: <VAR, resultado, Linha 69, Coluna 8>
2025-07-07 12:47:51,236 - INFO - Token: <POINT2, :, Linha 69, Coluna 17>
2025-07-07 12:47:51,236 - INFO - Token: <INT_TYPE, int, Linha 69, Coluna 19>
2025-07-07 12:47:51,237 - INFO - Token: <EQUALS, =, Linha 69, Coluna 23>
2025-07-07 12:47:51,237 - INFO - Token: <VAR, a, Linha 69, Coluna 25>
2025-07-07 12:47:51,237 - INFO - Token: <ADD, +, Linha 69, Coluna 27>
2025-07-07 12:47:51,237 - INFO - Token: <VAR, b, Linha 69, Coluna 29>
2025-07-07 12:47:51,237 - INFO - Token: <MUL, *, Linha 69, Coluna 31>
2025-07-07 12:47:51,238 - INFO - Token: <INT, 2, Linha 69, Coluna 33>
2025-07-07 12:47:51,238 - INFO - Token: <SUB, -, Linha 69, Coluna 35>
2025-07-07 12:47:51,238 - INFO - Token: <INT, 1, Linha 69, Coluna 37>
2025-07-07 12:47:51,238 - INFO - Token: <LET, let, Linha 70, Coluna 4>
2025-07-07 12:47:51,238 - INFO - Token: <VAR, complexo, Linha 70, Coluna 8>
2025-07-07 12:47:51,239 - INFO - Token: <POINT2, :, Linha 70, Coluna 16>
2025-07-07 12:47:51,239 - INFO - Token: <INT_TYPE, int, Linha 70, Coluna 18>
2025-07-07 12:47:51,239 - INFO - Token: <EQUALS, =, Linha 70, Coluna 22>
2025-07-07 12:47:51,239 - INFO - Token: <P_N, (, Linha 70, Coluna 24>
2025-07-07 12:47:51,239 - INFO - Token: <VAR, a, Linha 70, Coluna 25>
2025-07-07 12:47:51,240 - INFO - Token: <ADD, +, Linha 70, Coluna 27>
2025-07-07 12:47:51,240 - INFO - Token: <VAR, b, Linha 70, Coluna 29>
2025-07-07 12:47:51,240 - INFO - Token: <P_I, ), Linha 70, Coluna 30>
2025-07-07 12:47:51,240 - INFO - Token: <MUL, *, Linha 70, Coluna 32>
2025-07-07 12:47:51,240 - INFO - Token: <INT, 2, Linha 70, Coluna 34>
2025-07-07 12:47:51,241 - INFO - Token: <PRINT, print, Linha 72, Coluna 4>
2025-07-07 12:47:51,241 - INFO - Token: <DUPONT, ::, Linha 72, Coluna 10>
2025-07-07 12:47:51,241 - INFO - Token: <STRING, "Resultado complexo:", Linha 72, Coluna 13>
2025-07-07 12:47:51,241 - INFO - Token: <VIRG, ,, Linha 72, Coluna 34>
2025-07-07 12:47:51,242 - INFO - Token: <VAR, resultado, Linha 72, Coluna 36>
2025-07-07 12:47:51,242 - INFO - Token: <PRINT, print, Linha 73, Coluna 4>
2025-07-07 12:47:51,242 - INFO - Token: <DUPONT, ::, Linha 73, Coluna 10>
2025-07-07 12:47:51,242 - INFO - Token: <STRING, "Com parênteses:", Linha 73, Coluna 13>
2025-07-07 12:47:51,242 - INFO - Token: <VIRG, ,, Linha 73, Coluna 30>
2025-07-07 12:47:51,243 - INFO - Token: <VAR, complexo, Linha 73, Coluna 32>
2025-07-07 12:47:51,243 - INFO - Token: <LET, let, Linha 79, Coluna 4>
2025-07-07 12:47:51,243 - INFO - Token: <VAR, igual, Linha 79, Coluna 8>
2025-07-07 12:47:51,243 - INFO - Token: <POINT2, :, Linha 79, Coluna 13>
2025-07-07 12:47:51,243 - INFO - Token: <INT_TYPE, int, Linha 79, Coluna 15>
2025-07-07 12:47:51,244 - INFO - Token: <EQUALS, =, Linha 79, Coluna 19>
2025-07-07 12:47:51,244 - INFO - Token: <VAR, a, Linha 79, Coluna 21>
2025-07-07 12:47:51,244 - INFO - Token: <EQ, ==, Linha 79, Coluna 23>
2025-07-07 12:47:51,244 - INFO - Token: <VAR, b, Linha 79, Coluna 26>
2025-07-07 12:47:51,244 - INFO - Token: <LET, let, Linha 80, Coluna 4>
2025-07-07 12:47:51,245 - INFO - Token: <VAR, diferente, Linha 80, Coluna 8>
2025-07-07 12:47:51,245 - INFO - Token: <POINT2, :, Linha 80, Coluna 17>
2025-07-07 12:47:51,245 - INFO - Token: <INT_TYPE, int, Linha 80, Coluna 19>
2025-07-07 12:47:51,245 - INFO - Token: <EQUALS, =, Linha 80, Coluna 23>
2025-07-07 12:47:51,246 - INFO - Token: <VAR, a, Linha 80, Coluna 25>
2025-07-07 12:47:51,246 - INFO - Token: <NEQ, !=, Linha 80, Coluna 27>
2025-07-07 12:47:51,246 - INFO - Token: <VAR, b, Linha 80, Coluna 30>
2025-07-07 12:47:51,246 - INFO - Token: <LET, let, Linha 81, Coluna 4>
2025-07-07 12:47:51,247 - INFO - Token: <VAR, menor, Linha 81, Coluna 8>
2025-07-07 12:47:51,247 - INFO - Token: <POINT2, :, Linha 81, Coluna 13>
2025-07-07 12:47:51,247 - INFO - Token: <INT_TYPE, int, Linha 81, Coluna 15>
2025-07-07 12:47:51,247 - INFO - Token: <EQUALS, =, Linha 81, Coluna 19>
2025-07-07 12:47:51,248 - INFO - Token: <VAR, a, Linha 81, Coluna 21>
2025-07-07 12:47:51,248 - INFO - Token: <LT, <, Linha 81, Coluna 23>
2025-07-07 12:47:51,248 - INFO - Token: <VAR, b, Linha 81, Coluna 25>
2025-07-07 12:47:51,248 - INFO - Token: <LET, let, Linha 82, Coluna 4>
2025-07-07 12:47:51,248 - INFO - Token: <VAR, maior, Linha 82, Coluna 8>
2025-07-07 12:47:51,249 - INFO - Token: <POINT2, :, Linha 82, Coluna 13>
2025-07-07 12:47:51,249 - INFO - Token: <INT_TYPE, int, Linha 82, Coluna 15>
2025-07-07 12:47:51,249 - INFO - Token: <EQUALS, =, Linha 82, Coluna 19>
2025-07-07 12:47:51,249 - INFO - Token: <VAR, a, Linha 82, Coluna 21>
2025-07-07 12:47:51,249 - INFO - Token: <GT, >, Linha 82, Coluna 23>
2025-07-07 12:47:51,250 - INFO - Token: <VAR, b, Linha 82, Coluna 25>
2025-07-07 12:47:51,250 - INFO - Token: <LET, let, Linha 83, Coluna 4>
2025-07-07 12:47:51,250 - INFO - Token: <VAR, menorIgual, Linha 83, Coluna 8>
2025-07-07 12:47:51,250 - INFO - Token: <POINT2, :, Linha 83, Coluna 18>
2025-07-07 12:47:51,250 - INFO - Token: <INT_TYPE, int, Linha 83, Coluna 20>
2025-07-07 12:47:51,251 - INFO - Token: <EQUALS, =, Linha 83, Coluna 24>
2025-07-07 12:47:51,251 - INFO - Token: <VAR, a, Linha 83, Coluna 26>
2025-07-07 12:47:51,251 - INFO - Token: <LTE, <=, Linha 83, Coluna 28>
2025-07-07 12:47:51,251 - INFO - Token: <VAR, b, Linha 83, Coluna 31>
2025-07-07 12:47:51,252 - INFO - Token: <LET, let, Linha 84, Coluna 4>
2025-07-07 12:47:51,252 - INFO - Token: <VAR, maiorIgual, Linha 84, Coluna 8>
2025-07-07 12:47:51,252 - INFO - Token: <POINT2, :, Linha 84, Coluna 18>
2025-07-07 12:47:51,252 - INFO - Token: <INT_TYPE, int, Linha 84, Coluna 20>
2025-07-07 12:47:51,252 - INFO - Token: <EQUALS, =, Linha 84, Coluna 24>
2025-07-07 12:47:51,253 - INFO - Token: <VAR, a, Linha 84, Coluna 26>
2025-07-07 12:47:51,253 - INFO - Token: <GTE, >=, Linha 84, Coluna 28>
2025-07-07 12:47:51,253 - INFO - Token: <VAR, b, Linha 84, Coluna 31>
2025-07-07 12:47:51,253 - INFO - Token: <PRINT, print, Linha 86, Coluna 4>
2025-07-07 12:47:51,253 - INFO - Token: <DUPONT, ::, Linha 86, Coluna 10>
2025-07-07 12:47:51,254 - INFO - Token: <STRING, "=== COMPARAÇÕES ===", Linha 86, Coluna 13>
2025-07-07 12:47:51,254 - INFO - Token: <PRINT, print, Linha 87, Coluna 4>
2025-07-07 12:47:51,254 - INFO - Token: <DUPONT, ::, Linha 87, Coluna 10>
2025-07-07 12:47:51,254 - INFO - Token: <STRING, "10 == 3:", Linha 87, Coluna 13>
2025-07-07 12:47:51,254 - INFO - Token: <VIRG, ,, Linha 87, Coluna 23>
2025-07-07 12:47:51,255 - INFO - Token: <VAR, igual, Linha 87, Coluna 25>
2025-07-07 12:47:51,255 - INFO - Token: <PRINT, print, Linha 88, Coluna 4>
2025-07-07 12:47:51,255 - INFO - Token: <DUPONT, ::, Linha 88, Coluna 10>
2025-07-07 12:47:51,255 - INFO - Token: <STRING, "10 != 3:", Linha 88, Coluna 13>
2025-07-07 12:47:51,255 - INFO - Token: <VIRG, ,, Linha 88, Coluna 23>
2025-07-07 12:47:51,256 - INFO - Token: <VAR, diferente, Linha 88, Coluna 25>
2025-07-07 12:47:51,256 - INFO - Token: <PRINT, print, Linha 89, Coluna 4>
2025-07-07 12:47:51,256 - INFO - Token: <DUPONT, ::, Linha 89, Coluna 10>
2025-07-07 12:47:51,256 - INFO - Token: <STRING, "10 < 3:", Linha 89, Coluna 13>
2025-07-07 12:47:51,256 - INFO - Token: <VIRG, ,, Linha 89, Coluna 22>
2025-07-07 12:47:51,257 - INFO - Token: <VAR, menor, Linha 89, Coluna 24>
2025-07-07 12:47:51,257 - INFO - Token: <PRINT, print, Linha 90, Coluna 4>
2025-07-07 12:47:51,257 - INFO - Token: <DUPONT, ::, Linha 90, Coluna 10>
2025-07-07 12:47:51,257 - INFO - Token: <STRING, "10 > 3:", Linha 90, Coluna 13>
2025-07-07 12:47:51,257 - INFO - Token: <VIRG, ,, Linha 90, Coluna 22>
2025-07-07 12:47:51,258 - INFO - Token: <VAR, maior, Linha 90, Coluna 24>
2025-07-07 12:47:51,258 - INFO - Token: <PRINT, print, Linha 91, Coluna 4>
2025-07-07 12:47:51,258 - INFO - Token: <DUPONT, ::, Linha 91, Coluna 10>
2025-07-07 12:47:51,258 - INFO - Token: <STRING, "10 <= 3:", Linha 91, Coluna 13>
2025-07-07 12:47:51,259 - INFO - Token: <VIRG, ,, Linha 91, Coluna 23>
2025-07-07 12:47:51,259 - INFO - Token: <VAR, menorIgual, Linha 91, Coluna 25>
2025-07-07 12:47:51,259 - INFO - Token: <PRINT, print, Linha 92, Coluna 4>
2025-07-07 12:47:51,259 - INFO - Token: <DUPONT, ::, Linha 92, Coluna 10>
2025-07-07 12:47:51,259 - INFO - Token: <STRING, "10 >= 3:", Linha 92, Coluna 13>
2025-07-07 12:47:51,260 - INFO - Token: <VIRG, ,, Linha 92, Coluna 23>
2025-07-07 12:47:51,260 - INFO - Token: <VAR, maiorIgual, Linha 92, Coluna 25>
2025-07-07 12:47:51,260 - INFO - Token: <LET, let, Linha 98, Coluna 4>
2025-07-07 12:47:51,260 - INFO - Token: <VAR, condicao1, Linha 98, Coluna 8>
2025-07-07 12:47:51,260 - INFO - Token: <POINT2, :, Linha 98, Coluna 17>
2025-07-07 12:47:51,261 - INFO - Token: <INT_TYPE, int, Linha 98, Coluna 19>
2025-07-07 12:47:51,261 - INFO - Token: <EQUALS, =, Linha 98, Coluna 23>
2025-07-07 12:47:51,261 - INFO - Token: <INT, 1, Linha 98, Coluna 25>
2025-07-07 12:47:51,261 - INFO - Token: <LET, let, Linha 99, Coluna 4>
2025-07-07 12:47:51,262 - INFO - Token: <VAR, condicao2, Linha 99, Coluna 8>
2025-07-07 12:47:51,262 - INFO - Token: <POINT2, :, Linha 99, Coluna 17>
2025-07-07 12:47:51,262 - INFO - Token: <INT_TYPE, int, Linha 99, Coluna 19>
2025-07-07 12:47:51,262 - INFO - Token: <EQUALS, =, Linha 99, Coluna 23>
2025-07-07 12:47:51,263 - INFO - Token: <INT, 0, Linha 99, Coluna 25>
2025-07-07 12:47:51,263 - INFO - Token: <LET, let, Linha 101, Coluna 4>
2025-07-07 12:47:51,263 - INFO - Token: <VAR, e_logico, Linha 101, Coluna 8>
2025-07-07 12:47:51,263 - INFO - Token: <POINT2, :, Linha 101, Coluna 16>
2025-07-07 12:47:51,263 - INFO - Token: <INT_TYPE, int, Linha 101, Coluna 18>
2025-07-07 12:47:51,264 - INFO - Token: <EQUALS, =, Linha 101, Coluna 22>
2025-07-07 12:47:51,264 - INFO - Token: <VAR, condicao1, Linha 101, Coluna 24>
2025-07-07 12:47:51,264 - INFO - Token: <AND, &&, Linha 101, Coluna 34>
2025-07-07 12:47:51,264 - INFO - Token: <VAR, condicao2, Linha 101, Coluna 37>
2025-07-07 12:47:51,264 - INFO - Token: <LET, let, Linha 102, Coluna 4>
2025-07-07 12:47:51,265 - INFO - Token: <VAR, ou_logico, Linha 102, Coluna 8>
2025-07-07 12:47:51,265 - INFO - Token: <POINT2, :, Linha 102, Coluna 17>
2025-07-07 12:47:51,265 - INFO - Token: <INT_TYPE, int, Linha 102, Coluna 19>
2025-07-07 12:47:51,265 - INFO - Token: <EQUALS, =, Linha 102, Coluna 23>
